Revision,Indicator,AtlasProjectName,Milestone,Date,WW,ChangedColumn,OldValue,NewValue
"Rev 2 (2026-04-21)",NEW,"Nova Lake S 28C BLLC Product","PO Start","2026-05-29T00:00:00.000Z","202622",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"NVL S 52C BLLC (Dunlow) Product","PRQ","2027-07-29T00:00:00.000Z","202731",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"PIXE3pv4 4Xe Die","Sort PO*","2027-12-03T00:00:00.000Z","202749",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Titan Lake HM Product","QS","2028-09-30T00:00:00.000Z","202840",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Nova Lake S 8C Product","PRQ","2027-01-15T00:00:00.000Z","202703",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Razor Lake CPU 2P+0E Int Die","Tape In","2026-10-02T00:00:00.000Z","202640",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Nova Lake HX Product","PO Start","2026-08-27T00:00:00.000Z","202635",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Nova Lake H Product","PO Start","2026-07-23T00:00:00.000Z","202630",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Titan Lake HPX Debug Package","PO Start","2027-09-10T00:00:00.000Z","202737",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Nova Lake S 16C BLLC Product","PO Start","2027-11-26T00:00:00.000Z","202748",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Titan Lake CPU 4P+8E Int Die","Sort PO*","2027-07-30T00:00:00.000Z","202731",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Nova Lake PCH-S Product","QS","2026-08-13T00:00:00.000Z","202633",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Nova Lake PCH-S Product","PRQ","2026-11-19T00:00:00.000Z","202647",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Nova Lake CPU 4P+8E Int Die","Sort PO*","2026-03-12T00:00:00.000Z","202611",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Nova Lake S 16C Product","PO Start","2026-02-12T00:00:00.000Z","202607",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Razor Lake UL Product","PO Start","2027-12-03T00:00:00.000Z","202749",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Titan Lake HL Product","QS","2028-09-16T00:00:00.000Z","202838",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Nova Lake CPU 4P+8E Int Die","Sort PO*","2025-11-06T00:00:00.000Z","202545",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"NVL S 16C (Dunlow) Product","QS","2027-02-12T00:00:00.000Z","202707",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"NVL S 8C (Dunlow) Product","PO Start","2027-01-07T00:00:00.000Z","202702",N/A,N/A,N/A
"Rev 2 (2026-04-21)",NEW,"Titan Lake HPX Product","PO Start","2028-01-29T00:00:00.000Z","202805",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Titan Lake HUB-BX Die","Tape In","2027-02-26T00:00:00.000Z","202709",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake S 52C BLLC (Dunlow) Product","PO Start","2027-03-04T00:00:00.000Z","202710",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake PCH-S Product","QS","2026-09-17T00:00:00.000Z","202638",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake S 28C BLLC Product","QS","2026-10-22T00:00:00.000Z","202643",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake U Product","QS","2026-09-17T00:00:00.000Z","202638",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake H Product","PRQ","2026-12-03T00:00:00.000Z","202649",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Razor Lake UL Product","PO Start","2027-02-12T00:00:00.000Z","202707",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Razor Lake CPU 2P+0E Int Die","Sort PO*","2027-09-10T00:00:00.000Z","202737",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Titan Lake PCD-H Die","Sort PO*","2027-04-23T00:00:00.000Z","202717",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake S 28C (Dunlow) Product","PRQ","2027-05-06T00:00:00.000Z","202719",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake CPU 4P+0E Int Die","Sort PO*","2026-04-09T00:00:00.000Z","202615",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake PCH-S Product","PRQ","2026-11-05T00:00:00.000Z","202645",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Razor Lake CPU 8P+16E Die","Sort PO*","2027-05-14T00:00:00.000Z","202720",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake AX Product","PO Start","2026-08-21T00:00:00.000Z","202634",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake PCH-S Product","PO Start","2026-05-21T00:00:00.000Z","202621",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Razor Lake CPU 8P+16E Die","Tape In","2027-02-05T00:00:00.000Z","202706",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"PIXE3pv4 4Xe Die","Sort PO*","2028-02-04T00:00:00.000Z","202806",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake H Product","QS","2026-10-15T00:00:00.000Z","202642",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Razor Lake HX Product","ES1","2027-04-09T00:00:00.000Z","202715",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake S 16C (Dunlow) Product","PO Start","2027-01-07T00:00:00.000Z","202702",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Razor Lake CPU 4P+8E Ext Die","Sort PO*","2027-07-30T00:00:00.000Z","202731",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake H Product","PO Start","2026-07-09T00:00:00.000Z","202628",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"PIXE3plus-AX 512EU Die","Sort PO*","2027-02-19T00:00:00.000Z","202708",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake U Product","PO Start","2026-06-11T00:00:00.000Z","202624",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"PIXE3pv4 4Xe Die","Tape In","2027-10-29T00:00:00.000Z","202744",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake CPU 2P+0E Int Die","Tape In","2026-03-27T00:00:00.000Z","202613",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake H Product","PO Start","2026-01-29T00:00:00.000Z","202605",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake S 16C Product","QS","2026-10-29T00:00:00.000Z","202644",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake HX Product","PO Start","2026-02-26T00:00:00.000Z","202609",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake CPU 8P+16E Ext Die","Tape In","2025-12-04T00:00:00.000Z","202549",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"PIXE3plus-AX 512EU Die","Sort PO*","2026-06-12T00:00:00.000Z","202624",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"PIXE3-H 64EU Die","Sort PO*","2026-04-23T00:00:00.000Z","202617",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake CPU 8P+16E Ext Die","Sort PO*","2026-05-07T00:00:00.000Z","202619",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake S 16C Product","PRQ","2026-12-17T00:00:00.000Z","202651",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Nova Lake CPU 8P+16E BLLC Ext Die","Tape In","2025-12-11T00:00:00.000Z","202550",N/A,N/A,N/A
"Rev 2 (2026-04-21)",REMOVED,"Razor Lake CPU 4P+8E Ext Die","Tape In","2027-04-23T00:00:00.000Z","202717",N/A,N/A,N/A
